"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1D_P0","1270","2014-01-01","973.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-02","967.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-03","970.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-04","968.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-05","968.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-06","972.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-07","976.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-08","979.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-09","971.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-10","976.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-11","977.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-12","983.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-13","974.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-14","970","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-15","971.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-16","966.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-17","965.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-18","967.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-19","964.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-20","966.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-21","972.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-22","975.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-23","976.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-24","976.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-25","980.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-26","968","1","10",
"OBS_DEU_P1D_P0","1270","2014-01-27","959.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-28","964.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-29","966.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-30","970.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-01-31","970.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-01","966.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-02","975.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-03","975.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-04","972.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-05","964.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-06","967.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-07","959.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-08","960.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-09","959","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-10","960.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-11","964.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-12","968.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-13","959.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-14","968.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-15","963.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-16","970.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-17","976.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-18","977.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-19","974.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-20","973.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-21","969.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-22","976.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-23","983.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-24","979.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-25","975.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-26","977.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-27","977.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-02-28","967.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-01","964.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-02","965.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-03","957.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-04","965.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-05","978.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-06","990.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-07","988.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-08","993.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-09","992.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-10","987.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-11","991.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-12","994.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-13","989.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-14","985.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-15","977.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-16","975.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-17","979.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-18","976.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-19","980.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-20","979.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-21","971.1","1","10",
"OBS_DEU_P1D_P0","1270","2014-03-22","967.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-23","967.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-24","972.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-25","972.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-26","975.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-27","976.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-28","981.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-29","983.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-30","979.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-03-31","976.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-01","974.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-02","970.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-03","967.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-04","971.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-05","975.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-06","979.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-07","978.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-08","975.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-09","983","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-10","982.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-11","980.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-12","978.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-13","978.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-14","975.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-15","983.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-16","990.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-17","982.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-18","973.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-19","977.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-20","971.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-21","967.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-22","973.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-23","981.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-24","981.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-25","976","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-26","972.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-27","969","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-28","971.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-29","973.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-04-30","972.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-01","972.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-02","977","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-03","983.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-04","983.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-05","979.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-06","973.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-07","972.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-08","974.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-09","972.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-10","973.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-11","967.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-12","971.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-13","976.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-14","986.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-15","992.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-16","989.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-17","982.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-18","975.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-19","972.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-20","975.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-21","975.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-22","971.4","1","10",
"OBS_DEU_P1D_P0","1270","2014-05-23","973.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-24","977.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-25","982.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-26","977.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-27","971.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-28","973.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-29","978.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-30","983.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-05-31","982.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-01","982.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-02","980.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-03","977.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-04","971.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-05","975.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-06","979.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-07","979.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-08","980.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-09","981.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-10","981.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-11","985.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-12","987.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-13","982.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-14","980.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-15","983.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-16","981.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-17","982","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-18","981.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-19","979.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-20","978.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-21","979.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-22","981","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-23","983","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-24","979","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-25","975.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-26","978.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-27","977.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-28","973.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-29","970","4","10",
"OBS_DEU_P1D_P0","1270","2014-06-30","976.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-01","980.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-02","983.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-03","984.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-04","975.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-05","971.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-06","973.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-07","977.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-08","969.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-09","966.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-10","970.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-11","974.3","1","10",
"OBS_DEU_P1D_P0","1270","2014-07-12","974.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-13","971.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-14","974.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-15","982.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-16","984.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-17","984","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-18","982","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-19","977.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-20","973.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-21","973.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-22","978.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-23","980.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-24","978","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-25","976.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-26","976.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-27","977.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-28","975","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-29","971.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-30","972.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-07-31","977.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-01","975.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-02","971.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-03","973.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-04","977.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-05","980.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-06","980","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-07","977.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-08","976.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-09","973.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-10","972.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-11","974.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-12","974.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-13","969.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-14","973","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-15","974.4","1","10",
"OBS_DEU_P1D_P0","1270","2014-08-16","978.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-17","974.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-18","969.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-19","973.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-20","977.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-21","978.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-22","976.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-23","975.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-24","979.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-25","977.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-26","969.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-27","977.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-28","979.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-29","978.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-30","979.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-08-31","976.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-01","980.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-02","983.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-03","985.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-04","982.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-05","977.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-06","975.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-07","976.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-08","979.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-09","980.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-10","979.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-11","979","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-12","979.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-13","983.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-14","982.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-15","980.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-16","979.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-17","977.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-18","975.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-19","975.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-20","976.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-21","976.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-22","977.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-23","981.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-24","975.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-25","979.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-26","984.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-27","989.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-28","987.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-29","985.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-09-30","986.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-01","988.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-02","990.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-03","988.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-04","981.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-05","979.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-06","975.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-07","969.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-08","971.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-09","971","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-10","977.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-11","976.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-12","976.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-13","970.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-14","971.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-15","970","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-16","969.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-17","976","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-18","984.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-19","980","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-20","977.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-21","969","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-22","971.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-23","983.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-24","983.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-25","982.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-26","987.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-27","987.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-28","982.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-29","979.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-30","985.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-10-31","986.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-01","983.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-02","978","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-03","968.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-04","959.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-05","963.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-06","973.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-07","971.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-08","975.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-09","972.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-10","974","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-11","972","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-12","967.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-13","974.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-14","973.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-15","966.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-16","963.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-17","969.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-18","970.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-19","980.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-20","988.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-21","986.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-22","983.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-23","982.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-24","984.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-25","987.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-26","981.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-27","974.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-28","976.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-29","978.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-11-30","975.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-01","974.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-02","976.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-03","981.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-04","978.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-05","979.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-06","983.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-07","981.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-08","979.2","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-09","987.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-10","980","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-11","971.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-12","964.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-13","971.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-14","977.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-15","975.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-16","973.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-17","970.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-18","972.6","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-19","973.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-20","978.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-21","986.5","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-22","978.9","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-23","978.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-24","976.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-25","981.4","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-26","986.8","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-27","969.7","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-28","982.1","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-29","989.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-30","992.3","4","10",
"OBS_DEU_P1D_P0","1270","2014-12-31","993.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-01","994.3","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-02","986","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-03","983.5","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-04","988.1","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-05","991.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-06","985.7","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-07","987.6","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-08","983.3","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-09","978.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-10","969.8","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-11","975.3","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-12","978.1","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-13","971.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-14","971.9","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-15","968.8","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-16","968.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-17","974.8","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-18","977.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-19","973.7","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-20","972.3","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-21","975.3","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-22","977.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-23","984.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-24","981.5","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-25","987","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-26","981.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-27","978.8","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-28","969.9","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-29","950.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-30","937.4","4","10",
"OBS_DEU_P1D_P0","1270","2015-01-31","944","4","10",
