Parameter Forecast.Date Forecast.Mean Forecast.Lo80 Forecast.Hi80 Forecast.Lo95 Forecast.Hi95
Niederschlag 2024-01-01 2.1 0 9.2 0 12.9
Niederschlag 2024-01-02 1.6 0 8.8 0 12.6
Niederschlag 2024-01-03 7 0 14.2 0 18
Niederschlag 2024-01-04 4.7 0 12 0 15.9
Niederschlag 2024-01-05 0.6 0 7.9 0 11.8
Niederschlag 2024-01-06 2.3 0 9.6 0 13.5
Niederschlag 2024-01-07 0.7 0 8 0 11.8
Niederschlag 2024-01-08 0.1 0 7.4 0 11.3
Niederschlag 2024-01-09 0.9 0 8.2 0 12.1
Niederschlag 2024-01-10 7.7 0.4 15 0 18.9
Niederschlag 2024-01-11 7.5 0.2 14.8 0 18.7
Niederschlag 2024-01-12 3.2 0 10.5 0 14.4
Niederschlag 2024-01-13 3 0 10.3 0 14.2
Niederschlag 2024-01-14 9 1.7 16.3 0 20.2
Niederschlag 2024-01-15 1.8 0 9.1 0 13
Niederschlag 2024-01-16 9.5 2.2 16.8 0 20.7
Niederschlag 2024-01-17 5 0 12.3 0 16.2
Niederschlag 2024-01-18 5 0 12.3 0 16.2
Niederschlag 2024-01-19 1.5 0 8.8 0 12.7
Niederschlag 2024-01-20 0 0 7.3 0 11.2
Niederschlag 2024-01-21 0.5 0 7.8 0 11.7
Niederschlag 2024-01-22 0 0 7.3 0 11.2
Niederschlag 2024-01-23 0 0 7.3 0 11.2
Niederschlag 2024-01-24 0 0 7.3 0 11.2
Niederschlag 2024-01-25 1.2 0 8.5 0 12.4
Niederschlag 2024-01-26 0 0 7.3 0 11.2
Niederschlag 2024-01-27 0 0 7.3 0 11.2
Niederschlag 2024-01-28 0 0 7.3 0 11.2
Niederschlag 2024-01-29 2.4 0 9.7 0 13.6
Niederschlag 2024-01-30 0.3 0 7.6 0 11.5
Niederschlag 2024-01-31 0.6 0 7.9 0 11.8
Niederschlag 2024-02-01 6.4 0 13.7 0 17.6
Niederschlag 2024-02-02 7 0 14.3 0 18.2
Niederschlag 2024-02-03 0 0 7.3 0 11.2
Niederschlag 2024-02-04 1.9 0 9.2 0 13.1
Niederschlag 2024-02-05 0.8 0 8.1 0 12
Niederschlag 2024-02-06 0 0 7.3 0 11.2
Niederschlag 2024-02-07 0 0 7.3 0 11.2
Niederschlag 2024-02-08 0 0 7.3 0 11.2
Niederschlag 2024-02-09 0 0 7.3 0 11.2
Niederschlag 2024-02-10 0 0 7.3 0 11.2
Niederschlag 2024-02-11 0.1 0 7.4 0 11.3
Niederschlag 2024-02-12 0.1 0 7.4 0 11.3
Niederschlag 2024-02-13 0 0 7.3 0 11.2
Niederschlag 2024-02-14 0 0 7.3 0 11.2
Niederschlag 2024-02-15 0 0 7.3 0 11.2
Niederschlag 2024-02-16 2.3 0 9.6 0 13.5
Niederschlag 2024-02-17 1.1 0 8.4 0 12.3
Niederschlag 2024-02-18 10.1 2.8 17.4 0 21.3
Niederschlag 2024-02-19 0 0 7.3 0 11.2
Niederschlag 2024-02-20 0.3 0 7.6 0 11.5
Niederschlag 2024-02-21 0.1 0 7.4 0 11.3
Niederschlag 2024-02-22 0.6 0 7.9 0 11.8
Niederschlag 2024-02-23 0.4 0 7.7 0 11.6
Niederschlag 2024-02-24 3.5 0 10.8 0 14.7
Niederschlag 2024-02-25 0 0 7.3 0 11.2
Niederschlag 2024-02-26 0 0 7.3 0 11.2
Niederschlag 2024-02-27 0 0 7.3 0 11.2
Niederschlag 2024-02-28 0 0 7.3 0 11.2
Niederschlag 2024-02-29 0 0 7.3 0 11.2
Niederschlag 2024-03-01 0 0 7.3 0 11.2
Niederschlag 2024-03-02 0 0 7.3 0 11.2
Niederschlag 2024-03-03 0.4 0 7.7 0 11.6
Niederschlag 2024-03-04 2.1 0 9.4 0 13.3
Niederschlag 2024-03-05 1.3 0 8.6 0 12.5
Niederschlag 2024-03-06 0.7 0 8 0 11.9
Niederschlag 2024-03-07 0 0 7.3 0 11.2
Niederschlag 2024-03-08 0 0 7.3 0 11.2
Niederschlag 2024-03-09 0.3 0 7.6 0 11.5
Niederschlag 2024-03-10 1.4 0 8.7 0 12.6
Niederschlag 2024-03-11 2.6 0 9.9 0 13.8
Niederschlag 2024-03-12 0.9 0 8.2 0 12.1
Niederschlag 2024-03-13 5.2 0 12.5 0 16.4
Niederschlag 2024-03-14 2.2 0 9.5 0 13.4
Niederschlag 2024-03-15 0.9 0 8.2 0 12.1
Niederschlag 2024-03-16 0 0 7.3 0 11.2
Niederschlag 2024-03-17 1.3 0 8.6 0 12.5
Niederschlag 2024-03-18 0 0 7.3 0 11.2
Niederschlag 2024-03-19 2.5 0 9.8 0 13.7
Niederschlag 2024-03-20 3.9 0 11.2 0 15.1
Niederschlag 2024-03-21 4.9 0 12.2 0 16.1
Niederschlag 2024-03-22 3.9 0 11.2 0 15.1
Niederschlag 2024-03-23 0.4 0 7.7 0 11.6
Niederschlag 2024-03-24 3.7 0 11 0 14.9
Niederschlag 2024-03-25 0.1 0 7.4 0 11.3
Niederschlag 2024-03-26 0.8 0 8.1 0 12
Niederschlag 2024-03-27 1.4 0 8.7 0 12.6
Niederschlag 2024-03-28 0.5 0 7.8 0 11.7
Niederschlag 2024-03-29 1.6 0 8.9 0 12.8
Niederschlag 2024-03-30 13.2 5.9 20.5 2 24.4
Niederschlag 2024-03-31 0.8 0 8.1 0 12
Niederschlag 2024-04-01 0 0 7.3 0 11.2
Niederschlag 2024-04-02 0 0 7.3 0 11.2
Niederschlag 2024-04-03 0 0 7.3 0 11.2
Niederschlag 2024-04-04 0 0 7.3 0 11.2
Niederschlag 2024-04-05 0 0 7.3 0 11.2
Niederschlag 2024-04-06 0 0 7.3 0 11.2
Niederschlag 2024-04-07 0 0 7.3 0 11.2
Niederschlag 2024-04-08 0 0 7.3 0 11.2
Niederschlag 2024-04-09 4.7 0 12 0 15.9
Niederschlag 2024-04-10 4.4 0 11.7 0 15.6
Niederschlag 2024-04-11 8.4 1.1 15.7 0 19.6
Niederschlag 2024-04-12 1.6 0 8.9 0 12.8
Niederschlag 2024-04-13 0 0 7.3 0 11.2
Niederschlag 2024-04-14 0.2 0 7.5 0 11.4
Niederschlag 2024-04-15 0 0 7.3 0 11.2
Niederschlag 2024-04-16 0 0 7.3 0 11.2
Niederschlag 2024-04-17 0 0 7.3 0 11.2
Niederschlag 2024-04-18 0 0 7.3 0 11.2
Niederschlag 2024-04-19 2.1 0 9.4 0 13.3
Niederschlag 2024-04-20 0 0 7.3 0 11.2
Niederschlag 2024-04-21 4.6 0 11.9 0 15.8
Niederschlag 2024-04-22 11.5 4.2 18.8 0.3 22.7
Niederschlag 2024-04-23 0.6 0 7.9 0 11.8
Niederschlag 2024-04-24 0.9 0 8.2 0 12.1
Niederschlag 2024-04-25 0.2 0 7.5 0 11.4
Niederschlag 2024-04-26 0 0 7.3 0 11.2
Niederschlag 2024-04-27 9 1.7 16.3 0 20.2
Niederschlag 2024-04-28 0 0 7.3 0 11.2
Niederschlag 2024-04-29 0 0 7.3 0 11.2
Niederschlag 2024-04-30 0 0 7.3 0 11.2
Niederschlag 2024-05-01 0 0 7.3 0 11.2
Niederschlag 2024-05-02 0 0 7.3 0 11.2
Niederschlag 2024-05-03 0 0 7.3 0 11.2
Niederschlag 2024-05-04 12 4.7 19.3 0.8 23.2
Niederschlag 2024-05-05 0.1 0 7.4 0 11.3
Niederschlag 2024-05-06 1 0 8.3 0 12.2
Niederschlag 2024-05-07 1.3 0 8.6 0 12.5
Niederschlag 2024-05-08 12 4.7 19.3 0.8 23.2
Niederschlag 2024-05-09 0.8 0 8.1 0 12
Niederschlag 2024-05-10 0.8 0 8.1 0 12
Niederschlag 2024-05-11 0 0 7.3 0 11.2
Niederschlag 2024-05-12 0 0 7.3 0 11.2
Niederschlag 2024-05-13 0 0 7.3 0 11.2
Niederschlag 2024-05-14 0 0 7.3 0 11.2
Niederschlag 2024-05-15 0.3 0 7.6 0 11.5
Niederschlag 2024-05-16 0 0 7.3 0 11.2
Niederschlag 2024-05-17 0 0 7.3 0 11.2
Niederschlag 2024-05-18 0 0 7.3 0 11.2
Niederschlag 2024-05-19 0 0 7.3 0 11.2
Niederschlag 2024-05-20 1.1 0 8.4 0 12.3
Niederschlag 2024-05-21 4.4 0 11.7 0 15.6
Niederschlag 2024-05-22 0 0 7.3 0 11.2
